"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1970",77000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1971",72000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1972",76000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1973",66000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1974",66000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1975",60376,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1976",63000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1977",63000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1978",64000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1979",60000,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1980",60758,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1981",59024,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1982",57407,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1983",58778,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1984",58659,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1985",54826,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1986",58515,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1987",59669,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1988",61756,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1989",62982,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1990",62446,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1991",58223,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1992",55438,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1993",54933,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1994",53018,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1995",51941,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1996",48752,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1997",50078,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1998",51167,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","1999",51601,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2000",49065,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2001",47444,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",47619,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2003",50479,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2004",48670,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2005",49307,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2006",49171,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2007",49794,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2008",48827,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2009",47798,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2010",45918,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2011",47945,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2012",44234,
"BEL","ROADACCID","ACCIDENTCASUAL","NBR","A","2013",41279,
